"id","username","name","lastname","pass","email","colegiate","validation","role","phone","psychologist","createdAt","updatedAt"
11,"patient1","Patient","1","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient1@example.com",NULL,false,"patient",123456790,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
12,"patient2","Patient","2","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient2@example.com",NULL,false,"patient",123456791,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
13,"patient3","Patient","3","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient3@example.com",NULL,false,"patient",123456792,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
14,"patient4","Patient","4","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient4@example.com",NULL,false,"patient",123456793,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
15,"patient5","Patient","5","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient5@example.com",NULL,false,"patient",123456794,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
16,"patient6","Patient","6","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient6@example.com",NULL,false,"patient",123456795,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
17,"patient7","Patient","7","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient7@example.com",NULL,false,"patient",123456796,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
18,"patient8","Patient","8","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient8@example.com",NULL,false,"patient",123456797,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
19,"patient9","Patient","9","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient9@example.com",NULL,false,"patient",123456798,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
20,"patient10","Patient","10","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient10@example.com",NULL,false,"patient",123456799,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
21,"patient11","Patient","11","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient11@example.com",NULL,false,"patient",123456710,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
22,"patient12","Patient","12","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient12@example.com",NULL,false,"patient",123456711,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
23,"patient13","Patient","13","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient13@example.com",NULL,false,"patient",123456712,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
24,"patient14","Patient","14","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient14@example.com",NULL,false,"patient",123456713,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
25,"patient15","Patient","15","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient15@example.com",NULL,false,"patient",123456714,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
26,"patient16","Patient","16","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient16@example.com",NULL,false,"patient",123456715,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
27,"patient17","Patient","17","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient17@example.com",NULL,false,"patient",123456716,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
28,"patient18","Patient","18","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient18@example.com",NULL,false,"patient",123456717,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
29,"patient19","Patient","19","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient19@example.com",NULL,false,"patient",123456718,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
30,"patient20","Patient","20","$2b$10$wOI9459gWQc9yr1gSpFMueeuPeMnbVbrufsKMIU.fgusA0hjBWJoy","patient20@example.com",NULL,false,"patient",123456719,NULL,"2024-03-07 12:00:00","2024-03-07 12:00:00"
